Plot,sla,mean.thick,ssl,lar1,lmf,smf,rmf,sp,rgr.h,size,perc.canopy.open,Comp.1,Comp.2,Comp.3,Elevation,Elevation.Group
1,136.59875,0.1725,12.41830065,74.33945578,0.544217687,0.208163265,0.247619048,KNEMFU,0.182321557,24,2.86,0.48496099,0.125959843,-2.222177621,100,Low
1,214.1944444,0.183666667,27.23214286,64.09808811,0.29925187,0.341645885,0.359102244,DIOSXI,0.125163143,34,2.86,0.48496099,0.125959843,-2.222177621,100,Low
1,276.9444444,0.148666667,48.33333333,102.0321637,0.368421053,0.385964912,0.245614035,PSEUIN,0.349557476,20,2.86,0.48496099,0.125959843,-2.222177621,100,Low
1,190.75,0.274,35.22727273,11.73846154,0.061538462,0.676923077,0.261538462,DIOSHA,0.040821995,15,2.86,0.48496099,0.125959843,-2.222177621,100,Low
1,249.5833333,0.2125,25,64.17857143,0.257142857,0.30952381,0.433333333,PITTKE,0.171850257,19,2.86,0.48496099,0.125959843,-2.222177621,100,Low
1,310.65,0.15,149.0909091,42.84827586,0.137931034,0.379310345,0.482758621,DERRTH,0.133531393,20,2.86,0.48496099,0.125959843,-2.222177621,100,Low
1,268.9,0.149,76.36363636,52.89836066,0.196721311,0.540983607,0.262295082,POMETO,0.109484233,27,2.86,0.48496099,0.125959843,-2.222177621,100,Low
2,255.927451,0.129333333,35.73170732,66.25532995,0.258883249,0.416243655,0.324873096,PARACH,0.129211731,33,1.9,3.525751882,-1.343681615,0.991795209,100,Low
2,180.8086957,0.314666667,14.60526316,69.31,0.383333333,0.38,0.236666667,CAPPFO,0.131852131,34,1.9,3.525751882,-1.343681615,0.991795209,100,Low
2,252.1222222,0.171333333,16.4375,120.839645,0.479289941,0.315581854,0.205128205,SAPRTE,0.16034265,27,1.9,3.525751882,-1.343681615,0.991795209,100,Low
2,298.2037037,0.17,15.41666667,40.74130297,0.136622391,0.481973435,0.381404175,DIOSXI,0,32,1.9,3.525751882,-1.343681615,0.991795209,100,Low
3,231.8677083,0.243666667,13.72807018,79.66007157,0.343558282,0.383435583,0.273006135,BACCRA,0.09531018,33,3.39,1.390397835,1.059080034,-0.207165999,100,Low
3,169.8188679,0.2375,5.314353499,34.71706847,0.204435873,0.406460945,0.389103182,DYSOHO,0.130620182,49,3.39,1.390397835,1.059080034,-0.207165999,100,Low
3,252.4076923,0.19,32.05479452,30.01189024,0.118902439,0.385670732,0.495426829,LITSDI,0.083381609,25,3.39,1.390397835,1.059080034,-0.207165999,100,Low
3,253.075,0.231,111.4285714,32.65483871,0.129032258,0.451612903,0.419354839,PITTKE,0,14,3.39,1.390397835,1.059080034,-0.207165999,100,Low
3,261.4,0.2295,118.3333333,42.38918919,0.162162162,0.486486486,0.351351351,PARACH,0.122602322,26,3.39,1.390397835,1.059080034,-0.207165999,100,Low
3,284.8138889,0.158,29.53125,128.3668232,0.450704225,0.300469484,0.248826291,SAPRTE,0.15415068,21,3.39,1.390397835,1.059080034,-0.207165999,100,Low
3,226.6875,0.164333333,30.52631579,99.7425,0.44,0.2375,0.3225,SYZYLA,0.175890666,31,3.39,1.390397835,1.059080034,-0.207165999,100,Low
4,327.6283333,0.1905,14.74522293,81.00700549,0.247252747,0.431318681,0.321428571,CANATO,0.110000895,48,3.92,3.781354497,0.607194268,0.101602321,100,Low
4,302.725641,0.140666667,17.00729927,54.09530355,0.178694158,0.470790378,0.350515464,SAPRTE,0.139761942,23,3.92,3.781354497,0.607194268,0.101602321,100,Low
4,575.75,0.1505,22.53968254,16.85121951,0.029268293,0.307317073,0.663414634,PARACH,0.133531393,16,3.92,3.781354497,0.607194268,0.101602321,100,Low
4,394.1857143,0.117333333,40.83333333,34.87266983,0.088467615,0.132701422,0.778830964,CHASCU,0.087011377,36,3.92,3.781354497,0.607194268,0.101602321,100,Low
5,131.5828358,0.132666667,11.48484848,47.5900135,0.361673414,0.222672065,0.415654521,MORIAN,0.223143551,31,2.44,2.503477133,0.284605684,-0.430533493,100,Low
5,195.65,0.138,17.41463415,34.02608696,0.173913043,0.416666667,0.40942029,ARDIAF,0,45,2.44,2.503477133,0.284605684,-0.430533493,100,Low
5,291.084375,0.123666667,17.90243902,91.68011811,0.31496063,0.431102362,0.253937008,PARACH,0.074107972,42,2.44,2.503477133,0.284605684,-0.430533493,100,Low
5,272.3666667,0.154333333,217.5,153.20625,0.5625,0.25,0.1875,LINDME,0.251314428,9,2.44,2.503477133,0.284605684,-0.430533493,100,Low
5,267.875,0.135,95,27.47435897,0.102564103,0.564102564,0.333333333,DERRTH,0,22,2.44,2.503477133,0.284605684,-0.430533493,100,Low
5,191.4027778,0.155666667,15.55084746,84.21722222,0.44,0.282222222,0.277777778,ARDIAF,0.105360516,40,2.44,2.503477133,0.284605684,-0.430533493,100,Low
5,247.0622807,0.156666667,10.07317073,105.94511,0.428819444,0.355902778,0.215277778,SAPRTE,0.360002734,43,2.44,2.503477133,0.284605684,-0.430533493,100,Low
5,366.4,0.128,129.2857143,61.06666667,0.166666667,0.388888889,0.444444444,DERRTH,0.051293294,20,2.44,2.503477133,0.284605684,-0.430533493,100,Low
5,222.44,0.196666667,47.20930233,75.58640777,0.339805825,0.417475728,0.242718447,PARACH,0.048790164,21,2.44,2.503477133,0.284605684,-0.430533493,100,Low
6,166.1434783,0.373,19.61538462,38.72939189,0.233108108,0.439189189,0.327702703,CAPPFO,0.113328685,28,2.54,0.162163168,1.816223701,-0.543238429,100,Low
6,347.1875,0.135,110,123.4444444,0.355555556,0.333333333,0.311111111,PSEUIN,0.182321557,18,2.54,0.162163168,1.816223701,-0.543238429,100,Low
6,343.94,0.1425,69.64285714,47.76944444,0.138888889,0.388888889,0.472222222,PARACH,0.083381609,25,2.54,0.162163168,1.816223701,-0.543238429,100,Low
6,190.4571429,0.315,30.11904762,70.47753304,0.370044053,0.370044053,0.259911894,CAPPFO,0.076961041,27,2.54,0.162163168,1.816223701,-0.543238429,100,Low
6,431.7833333,0.223,70.43478261,116.6981982,0.27027027,0.310810811,0.418918919,SALAAU,0.111225635,19,2.54,0.162163168,1.816223701,-0.543238429,100,Low
6,248.6916667,0.126,35.54054054,47.36984127,0.19047619,0.391534392,0.417989418,PARACH,0.036367644,28,2.54,0.162163168,1.816223701,-0.543238429,100,Low
6,338.9233333,0.188,24.96350365,44.01601732,0.12987013,0.296536797,0.573593074,CELAMO,0.028170877,36,2.54,0.162163168,1.816223701,-0.543238429,100,Low
6,379.7666667,0.1905,88.57142857,108.5047619,0.285714286,0.333333333,0.380952381,PSEUIN,0,11,2.54,0.162163168,1.816223701,-0.543238429,100,Low
6,490.75,0.159666667,111.4285714,140.2142857,0.285714286,0.428571429,0.285714286,PSEUIN,0.133531393,16,2.54,0.162163168,1.816223701,-0.543238429,100,Low
7,581.9833333,0.165666667,56.75,226.3268519,0.388888889,0.37037037,0.240740741,COLOTH,0.313657559,26,3.48,1.927921914,2.4534634,0.051932304,100,Low
7,270.1833333,0.156666667,47.85714286,138.2333333,0.511627907,0.244186047,0.244186047,PLATLA,0.09531018,22,3.48,1.927921914,2.4534634,0.051932304,100,Low
7,290.6,0.120333333,36.22222222,112.0226757,0.385487528,0.204081633,0.410430839,LITSSA,0.223143551,35,3.48,1.927921914,2.4534634,0.051932304,100,Low
7,267.4888889,0.117,31.97916667,154.5231218,0.577680525,0.210065646,0.212253829,LITSSA,0.693147181,33,3.48,1.927921914,2.4534634,0.051932304,100,Low
7,292.1694444,0.136666667,21.38297872,85.8939124,0.293986637,0.418708241,0.287305122,PARACH,0.146603474,44,3.48,1.927921914,2.4534634,0.051932304,100,Low
7,342.75,0.202,147.7777778,85.6875,0.25,0.375,0.375,PARACH,0.064538521,16,3.48,1.927921914,2.4534634,0.051932304,100,Low
8,202.9818182,0.198,10.09411765,66.40297398,0.327137546,0.394981413,0.277881041,SAPRTE,0.120627988,44,1.5,2.950070985,1.626724028,-0.692708094,100,Low
8,337.3666667,0.259666667,28.60465116,87.37553957,0.258992806,0.154676259,0.586330935,RHYNOB,0.287682072,16,1.5,2.950070985,1.626724028,-0.692708094,100,Low
8,385.3777778,0.215,116.1538462,150.8,0.391304348,0.282608696,0.326086957,PARACH,0.30538165,19,1.5,2.950070985,1.626724028,-0.692708094,100,Low
8,242.8181818,0.141333333,20.36809816,6.669163546,0.027465668,0.040699126,0.931835206,STERBR,0,33,1.5,2.950070985,1.626724028,-0.692708094,100,Low
8,327.053125,0.161,28.71428571,125.7896635,0.384615385,0.336538462,0.278846154,SAPRTE,0.15415068,21,1.5,2.950070985,1.626724028,-0.692708094,100,Low
8,646.9666667,0.1325,71.36363636,123.231746,0.19047619,0.349206349,0.46031746,LITSSA,0.182321557,18,1.5,2.950070985,1.626724028,-0.692708094,100,Low
8,350.7074074,0.167333333,19.79591837,106.9954802,0.305084746,0.319426336,0.375488918,MYCEGR,0.105360516,50,1.5,2.950070985,1.626724028,-0.692708094,100,Low
9,249.2555556,0.263666667,52.05882353,65.97941176,0.264705882,0.25,0.485294118,PITTKE,0,44,1.54,2.170123582,0.70691783,-2.75567951,100,Low
9,209.2478261,0.26,23.53333333,33.81288056,0.161592506,0.351288056,0.487119438,PITTKE,0,36,1.54,2.170123582,0.70691783,-2.75567951,100,Low
9,303.3333333,0.245,110,63.85964912,0.210526316,0.263157895,0.526315789,PITTKE,0.064538521,16,1.54,2.170123582,0.70691783,-2.75567951,100,Low
